,MSE,rf_n_estimators,rf_max_depth,rf_max_leaves,rf_min_samples_split,rf_n_bins,scalers
1786,1.783822637306428,800,50,500,20,128,MinMaxScaler
1783,1.7838475732379104,800,50,500,20,32,MinMaxScaler
1777,1.7838612526227835,800,50,500,10,128,MinMaxScaler
1762,1.7838699302157963,800,50,1000,50,512,MinMaxScaler
1780,1.783870198336101,800,50,500,10,512,MinMaxScaler
1765,1.7838707505757232,800,50,500,2,32,MinMaxScaler
1768,1.7838721957463564,800,50,500,2,128,MinMaxScaler
1774,1.7838740179950152,800,50,500,10,32,MinMaxScaler
1759,1.783878814448742,800,50,1000,50,128,MinMaxScaler
1771,1.7838862261929251,800,50,500,2,512,MinMaxScaler
1756,1.783916456257272,800,50,1000,50,32,MinMaxScaler
1750,1.7839385984713776,800,50,1000,20,128,MinMaxScaler
1753,1.7839415033989592,800,50,1000,20,512,MinMaxScaler
1784,1.7839559741895263,800,50,500,20,32,QuantileTransformer
1785,1.7839593728844865,800,50,500,20,128,StandardScaler
1787,1.7839596376633555,800,50,500,20,128,QuantileTransformer
1747,1.7839641313247585,800,50,1000,20,32,MinMaxScaler
1788,1.7839667994873512,800,50,500,20,512,StandardScaler
1741,1.7839783835098766,800,50,1000,10,128,MinMaxScaler
1766,1.7839808208131445,800,50,500,2,32,QuantileTransformer
1775,1.7839823326911437,800,50,500,10,32,QuantileTransformer
1767,1.7839853717016942,800,50,500,2,128,StandardScaler
1776,1.7839854380170057,800,50,500,10,128,StandardScaler
1744,1.7839873151388963,800,50,1000,10,512,MinMaxScaler
1726,1.7839887186153192,400,1000,100,50,512,MinMaxScaler
1729,1.7839887262083616,800,50,1000,2,32,MinMaxScaler
1732,1.783990025650553,800,50,1000,2,128,MinMaxScaler
1738,1.783991539197877,800,50,1000,10,32,MinMaxScaler
1778,1.783996952970615,800,50,500,10,128,QuantileTransformer
1723,1.783998104376532,400,1000,100,50,128,MinMaxScaler
1782,1.7839991146935943,800,50,500,20,32,StandardScaler
1764,1.7840020992997534,800,50,500,2,32,StandardScaler
1735,1.7840041291721684,800,50,1000,2,512,MinMaxScaler
1779,1.7840044387006644,800,50,500,10,512,StandardScaler
1769,1.7840073486218666,800,50,500,2,128,QuantileTransformer
1763,1.7840137339988766,800,50,1000,50,512,QuantileTransformer
1781,1.7840145289375322,800,50,500,10,512,QuantileTransformer
1760,1.784014729036587,800,50,1000,50,128,QuantileTransformer
1773,1.7840154422255414,800,50,500,10,32,StandardScaler
1770,1.78401572669084,800,50,500,2,512,StandardScaler
1761,1.784017160644437,800,50,1000,50,512,StandardScaler
1758,1.784017880235364,800,50,1000,50,128,StandardScaler
1757,1.7840191733252184,800,50,1000,50,32,QuantileTransformer
1772,1.7840305907357814,800,50,500,2,512,QuantileTransformer
1720,1.7840363693757817,400,1000,100,50,32,MinMaxScaler
1714,1.784061023628357,400,1000,100,20,128,MinMaxScaler
1717,1.7840640102024177,400,1000,100,20,512,MinMaxScaler
1755,1.784068922771562,800,50,1000,50,32,StandardScaler
1748,1.7840743457249637,800,50,1000,20,32,QuantileTransformer
1749,1.7840777463261557,800,50,1000,20,128,StandardScaler
